,Count Location,FROM,TO,AADT,lat,long,slat,slong,flat,flong
46,Cobb St,Sovocool Hill Rd,Talmadge Rd,626,42.593234100000004,-76.44455965,42.5749627,-76.4437306,42.6115055,-76.4453887
47,Cobb St,Drdyen T/L,Pleasant Valley Rd,342,42.50237385,-76.4725578,42.4439614,-76.5018807,42.5607863,-76.4432349
48,Cobb St,Pleasant Valley Rd,Sovocol Hill Rd,595,42.5678745,-76.44348274999999,42.5607863,-76.4432349,42.5749627,-76.4437306
49,Coddington Rd,King Rd,Ithaca C/L,"1,287",42.41196645,-76.4806452,42.40401,-76.464356,42.4199229,-76.4969344
50,Coddington Rd,Ithaca T/L,King Rd E,"1,414",42.38407905,-76.43963919999999,42.3641481,-76.4149224,42.40401,-76.464356
51,Coddington Rd,Caroline T/L,Ithaca T/L,"1,414",42.391949249999996,-76.4559701,42.4197504,-76.4970178,42.3641481,-76.4149224
52,College Ave,Oak Ave,Campus Rd,"3,114",42.443896699999996,-76.48238525,42.442547,-76.48537,42.4452464,-76.4794005
53,Columbia St,Hudson St,Giles St,"2,878",42.4363179,-76.4911677,42.435876,-76.4923139,42.4367598,-76.4900215
54,Comfort Rd,Jersey Hill Rd,Rt 96B,646,42.386612650000004,-76.503256,42.3787529,-76.508836,42.3944724,-76.497676
55,Connecticut Hill Rd,Rt 13,Alpine Rd,27,42.325417949999995,-76.67221425,42.317199,-76.6648226,42.33363689999999,-76.6796059
56,Cornell St,State St,Dryden Rd,"1,619",42.43694195,-76.4779953,42.432725,-76.4783099,42.4411589,-76.4776807
57,Court St,Meadow St,Plain St,"1,497",42.442387450000005,-76.50628615,42.44232600000001,-76.50849029999999,42.4424489,-76.504082
58,Court St,Albany St,Aurora St,"1,156",42.44259445,-76.498834,42.4425139,-76.501876,42.442675,-76.49579200000001
59,Court St,Aurora St,Linn St,"1,361",42.442694,-76.495206,42.442675,-76.49579200000001,42.442713,-76.49462
60,Creamery Rd,Central Chapel Rd,Rt 79,242,42.38687180000001,-76.35306445,42.37983270000001,-76.355524,42.39391090000001,-76.3506049
61,Culligan Dr,Brown Rd,Brown Rd,191,42.4873907,-76.4640916,42.4873907,-76.4640916,42.4873907,-76.4640916
62,Dey St,Auburn St,Rt 13,"1,422",42.45007394999999,-76.50209735,42.448544,-76.500777,42.45160389999999,-76.5034177
63,Dodge Rd,Ellis Hollow Rd,Stevenson Rd,75,42.435753500000004,-76.4251708,42.427384,-76.4116156,42.444123,-76.438726
64,Dryden Rd,College Ave,Maple Ave,"3,215",42.441386449999996,-76.4814653,42.441614,-76.4852499,42.4411589,-76.4776807
65,Dryden Rd,Eddy St,College Ave,"2,809",42.441873949999994,-76.4863699,42.44213389999999,-76.4874899,42.441614,-76.4852499
66,Dug Rd,Mill St,End,62,42.4439614,-76.5018807,42.4439614,-76.5018807,42.4439614,-76.5018807
67,East Shore Dr,Cayuga St,Rt 13,"7,821",42.46248715,-76.4982166,42.462362,-76.498148,42.4626123,-76.4982852
68,East Shore Dr,Ithaca C/L,Cayuga St N,"4,016",42.44114245,-76.4975412,42.4199229,-76.4969344,42.462362,-76.498148
69,Eddy St,State St,Williams St,"2,154",42.440190099999995,-76.48746754999999,42.4380472,-76.4874371,42.442333,-76.487498
70,Ellis Hollow Rd,Rt 79,Caroline T/L,"1,318",42.406696999999994,-76.43212985,42.3936436,-76.3672419,42.4197504,-76.4970178
71,Ellis Hollow Rd,Caroline T/L,Ringwood Rd,"1,673",42.4260501,-76.44194554999999,42.4197504,-76.4970178,42.4323498,-76.38687329999999
72,Ellis Hollow Rd,Thomas Rd,Ellis Hollow Crk Rd,"1,546",42.42556315,-76.38571385,42.4258215,-76.3899457,42.4253048,-76.38148199999999
73,Ellis Hollow Rd,Ithaca T/L,Thomas Rd,"2,433",42.42660275,-76.40078065,42.427384,-76.4116156,42.4258215,-76.3899457
74,Elm St,Haller Blvd,Chestnut St,"1,692",42.437130499999995,-76.52271045,42.436242,-76.5260349,42.438019,-76.519386
75,Elm St Ext,Champlin Rd,Lafayette Rd,148,42.58596789999999,-76.29389065000001,42.58591699999999,-76.2986913,42.5860188,-76.28909
76,Elmira Rd,Plain St,Traffic Circle,"11,756",42.43730825,-76.50268825,42.4306551,-76.5034958,42.4439614,-76.5018807
77,Elmira Rd,Meadow St,Plain St,"12,822",42.42952475,-76.5057927,42.42839439999999,-76.50808959999999,42.4306551,-76.5034958
78,Enfield Center Rd,Enfield Main Rd,Shudaben Rd,306,42.4359915,-76.6281554,42.43589,-76.6313469,42.436093,-76.6249639
79,Etna Ln,Rt 366,Rt 13,221,42.4826379,-76.38005079999999,42.4851816,-76.3837998,42.4800942,-76.3763018
80,Etna Rd,Hanshaw Rd,Upper Creek Rd,"1,285",42.487306450000005,-76.4081132,42.4865579,-76.431372,42.488055,-76.3848544
81,Fall Creek Rd,Cady Ln,North Rd,"4,360",42.48700335,-76.406117,42.5212226,-76.3254658,42.4527841,-76.4867682
82,Fall Creek Rd,Freeville V/L,Cady Ln,"3,559",42.5175917,-76.33603360000001,42.5139608,-76.3466014,42.5212226,-76.3254658
83,Farrell Rd,Warren Rd,Dryden T/L,"1,294",42.51519695,-76.46216045,42.5145916,-76.4721544,42.5158023,-76.45216649999999
84,Ferguson Rd,South St,Dryden V/L,"1,394",42.43792985,-76.49559285000001,42.4337896,-76.506671,42.4420701,-76.4845147
85,Forest Home Dr,Thurston Ave,Ithaca C/L,"1,466",42.435607450000006,-76.48951075,42.451292,-76.4820871,42.4199229,-76.4969344
86,Forest Home Dr,Rt 366,Ithaca T/L,691,42.452780950000005,-76.45418215000001,42.4531015,-76.4445006,42.4524604,-76.4638637
87,Forest Home Dr,Ithaca C/L,Warren Rd,"2,771",42.43596545,-76.48266720000001,42.4199229,-76.4969344,42.452008,-76.4684
88,Forest Home Dr,Warren Rd,Caldwell Rd,"3,672",42.45146544999999,-76.46716395,42.452008,-76.4684,42.45092289999999,-76.4659279
89,Freese Rd,Hanshaw Rd,Rt 366,"2,129",42.4618099,-76.44234614999999,42.467729,-76.44841,42.4558908,-76.4362823
90,Game Farm Rd,Ithaca T/L,King Rd E,"1,804",42.419957600000004,-76.51178475,42.4439614,-76.5018807,42.3959538,-76.5216888
91,Count Location,FROM,TO,AADT,42.4439614,-76.5018807,42.4439614,-76.5018807,42.4439614,-76.5018807
92,Game Farm Rd,Ellis Hollow Rd,Stephenson Rd,"1,456",42.363065000000006,-76.46104985,42.4331339,-76.4483949,42.2929961,-76.4737048
93,Gardner Parkway,Stewart Park Rd,James L Gibbs Rd,"2,274",42.4622186,-76.50082455,42.462142,-76.501204,42.4622952,-76.5004451
94,Genung Rd,Ellis Hollow Rd,Ellis Hollow Cir,313,42.42811,-76.4151806,42.42811,-76.4151806,42.42811,-76.4151806
95,George Rd,Rt 38,Rt 13,"1,433",42.4439614,-76.5018807,42.4439614,-76.5018807,42.4439614,-76.5018807
96,Giles St,Water St,State St,"2,594",42.43296895,-76.48122645000001,42.4332129,-76.484143,42.432725,-76.4783099
97,Giles St,Hudson St,Columbia St,423,42.43737135,-76.49153625,42.4379829,-76.493051,42.4367598,-76.4900215
98,Glenwood Rd,Rt 89,Rt 89,58,42.453904,-76.5173949,42.453904,-76.5173949,42.453904,-76.5173949
99,Groton City Rd,Hinman Rd,Champlin Rd,171,42.61616335,-76.2902448,42.6150271,-76.2852648,42.6172996,-76.2952248
100,Hancock St,Meadow St N,Auburn St,"1,689",42.4467676,-76.50469595,42.4452022,-76.5086369,42.448333,-76.500755
101,Hanshaw Rd,Rt 13,Etna Rd,"1,635",42.482114100000004,-76.4312966,42.4776703,-76.4312212,42.4865579,-76.431372
102,Hanshaw Rd,Warren Rd,Rt 13,"1,850",42.4723939,-76.4486241,42.4671175,-76.46602700000001,42.4776703,-76.4312212
103,Hanshaw Rd,Cayuga Hgts V/L,Warren Rd,"4,693",42.46366995000001,-76.47899000000001,42.46022240000001,-76.491953,42.4671175,-76.46602700000001
104,Hanshaw Rd,N Triphammer Rd,Cayuga Hgts V/L,"9,196",42.465149800000006,-76.48613415,42.4700772,-76.4803153,42.46022240000001,-76.491953
105,Hanshaw Rd,Cayuga Hgts Rd,N Triphammer Rd,934,42.465149800000006,-76.48613415,42.46022240000001,-76.491953,42.4700772,-76.4803153
106,Harford Rd,Rt 79,County Line,622,42.417924049999996,-76.4204813,42.3918867,-76.3390819,42.4439614,-76.5018807
107,Herman Rd,Rt 38,Fall Creek Rd,689,42.4809177,-76.41873375,42.4439614,-76.5018807,42.517874,-76.3355868
108,Hillview Rd,Rt 34 96,Michigan Hollow Rd,208,42.287692,-76.505942,42.292795,-76.519572,42.282589,-76.492312
109,Hines Rd,Trumbulls Cor Rd,Rt 327,148,42.345836250000005,-76.54752915,42.2929961,-76.4737048,42.3986764,-76.6213535
110,Hoy Rd,Campus Rd,Dryden Rd,"2,914",42.44423975,-76.4789015,42.4452226,-76.481579,42.4432569,-76.476224
111,Hudson St,Coddington Rd,Prospect St,"5,584",42.43340595000001,-76.4919835,42.429141,-76.491192,42.43767090000001,-76.492775
