,Prd Date,Case Number,road,intersection,number injured,fatal indicator,local codes,Day of Week,Time,"Contributing Factor Primary
",Contributing Factor Secondary,CTV,lat,long,seconds_since,month
35,01/16/2022,S8S113F1BHV9,EAST SHORE DRIVE,BURDICK HILL ROAD,0,N,S22-00679,SUNDAY,21:45,66.0,77.0,5556,42.4980909,-76.499882,78300.0,1
36,01/17/2022,S8S113F1CHWQ,101 DATES DR,,0,N,S22-00686,Monday,05:04,3.0,77.0,5555,42.4690356,-76.53744309999999,18240.0,1
37,01/18/2022,S8S114F1J413,GASLIGHT VILLAGE,,0,N,S22-00741,Tuesday,15:18,66.0,99.0,5523,42.4803653,-76.4748227,55080.0,1
38,01/18/2022,S8S107F1J3HB,ENFIELD MAIN ROAD,,0,Y,S22-00740,TUESDAY,15:18,11.0,10.0,5553,42.4331109,-76.6319858,55080.0,1
39,01/18/2022,S8S114F1J7HH,RIDGE ROAD,,0,N,S22-00745,Tuesday,16:30,66.0,99.0,5556,42.5735549,-76.5781092,59400.0,1
40,01/18/2022,S8S113F1JLX8,DRYDEN ROAD,,0,N,S22-00753,TUESDAY,19:12,4.0,77.0,5552,42.4704369,-76.4034517,69120.0,1
41,01/19/2022,S80K91F1L1BX,DRYDEN ROAD,,0,N,S22-00766,WEDNESDAY,06:07,66.0,77.0,5552,42.4704369,-76.4034517,22020.0,1
42,01/19/2022,S8S113F1M3JZ,STATE HIGHWAY 13,WARREN ROAD,0,N,S22-00798,Wednesday,14:00,9.0,77.0,5523,42.4885848,-76.4675805,50400.0,1
43,01/19/2022,S8S118F1MT23,DANBY ROAD,WEST MILLER ROAD,0,N,S22-00811,WEDNESDAY,19:24,61.0,77.0,5551,42.3676266,-76.4964427,69840.0,1
44,01/19/2022,S8S113F1LM2C,FALL CREEK ROAD,HERMAN ROAD,0,N,S22-00778,Wednesday,10:20,20.0,13.0,5552,42.5146387,-76.3354659,37200.0,1
45,01/21/2022,S8S106F1S0K6,DANBY ROAD,,2,N,S22-00883,FRIDAY,02:52,66.0,77.0,5551,42.3587467,-76.4833869,10320.0,1
46,01/21/2022,S8S106F1SFDH,WEST DANBY ROAD,,0,N,S22-00885,FRIDAY,05:59,66.0,77.0,5551,42.3406625,-76.5354786,21540.0,1
47,01/21/2022,S8S111F1V3GN,PERU SOUTH LANSING ROAD,,0,N,S22-000918,FRIDAY,18:31,61.0,77.0,5552,-9.189967,-75.015152,66660.0,1
48,01/21/2022,S8S107F1TP4F,SANDBANK ROAD,,0,N,S22-00900,Friday,15:33,27.0,77.0,5555,42.4057382,-76.5280003,55980.0,1
49,01/21/2022,S8S118F1V4CP,ELMIRA ROAD,,0,N,S22-00919,FRIDAY,18:54,66.0,77.0,5555,42.362536,-76.5957859,68040.0,1
50,01/21/2022,S8S107F1TXF8,DANBY ROAD,,0,N,S22-00913,FRIDAY,17:27,61.0,77.0,5555,42.3587467,-76.4833869,62820.0,1
